treatment,GCPs,PPK,Keypoints,Tie Points,Tie Points Per Photo,Median Photos Per Point,Reprojection Error Minimum,Reprojection Error Median,Reprojeciton Error Mean,Reprojection Error Maximum,Reprojection Error RMS,RMS of Distances to Rays,Processing Time,x_Min,x_Mean,x_Max,y_Min,y_Mean,y_Max,z_Min,z_Mean,z_Max
3_gcps,3,FALSE,18991,21325,1476,4,0.01,0.44,0.57,1.83,0.63,0.02039,86,0.00106,0.00134,0.00202,0.00119,0.00169,0.00299,0.00036,0.00047,0.00092
4_gcps,4,FALSE,18991,21165,1442,4,0.02,0.47,0.6,1.8,0.66,0.0195,81,0.00107,0.00135,0.00191,0.0012,0.0017,0.00298,0.00036,0.00047,0.00091
5_gcps,5,FALSE,18991,21231,1436,4,0.01,0.49,0.62,1.83,0.68,0.02014,82,0.00108,0.00134,0.00186,0.00122,0.0017,0.00293,0.00037,0.00047,0.0009
6_gcps,6,FALSE,18991,21566,1479,4,0.02,0.48,0.61,1.72,0.67,0.02108,95,0.00122,0.00159,0.0023,0.00147,0.00201,0.00343,0.0004,0.00052,0.00098
7_gcps,7,FALSE,18991,21428,1439,4,0.01,0.49,0.62,1.78,0.68,0.02108,91,0.00125,0.0016,0.0023,0.00149,0.00202,0.00343,0.00041,0.00053,0.00098
8_gcps,8,FALSE,18991,21321,1430,4,0.02,0.49,0.62,1.79,0.68,0.02155,97,0.00125,0.00161,0.00229,0.0015,0.00203,0.00343,0.00041,0.00053,0.00098
JPLM,0,TRUE,18991,20356,1352,4,0.02,0.54,0.67,1.82,0.72,0.02119,92,0.00137,0.00174,0.00253,0.00154,0.00224,0.00374,0.00042,0.00056,0.00106
AZU1,0,TRUE,18991,19582,1294,4,0.03,0.56,0.69,1.82,0.74,0.02137,112,0.00141,0.00179,0.00251,0.00158,0.00231,0.00377,0.00042,0.00058,0.00105
VDCY,0,TRUE,18991,19661,1318,4,0.01,0.55,0.68,1.82,0.73,0.021,142,0.00143,0.0018,0.0025,0.0016,0.00232,0.00383,0.00043,0.00059,0.00107
local,0,TRUE,18991,20385,1348,4,0.02,0.54,0.67,1.79,0.72,0.02116,100,0.00136,0.00173,0.00253,0.00154,0.00223,0.00374,0.00042,0.00056,0.00104
